name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won
Сапронов Александр Сергеевич,12,2010,155874,29812,1020,1638,20.83,0.65,1.05,False
Тафинцева Лидия Васильевна,12,1607,155874,29812,1020,1638,20.83,0.65,1.05,False
Фокина Татьяна Михайловна,12,1875,155874,29812,1020,1638,20.83,0.65,1.05,False
Ходаков Владимир Владимирович,12,3286,155874,29812,1020,1638,20.83,0.65,1.05,False
Шапошников Алексей Валерьевич,12,16801,155874,29812,1020,1638,20.83,0.65,1.05,True
Добрынин Сергей Александрович,13,2442,166024,31260,992,2029,20.65,0.6,1.22,False
Лебедев Сергей Эдуардович,13,1323,166024,31260,992,2029,20.65,0.6,1.22,False
Морозов Николай Николаевич,13,4517,166024,31260,992,2029,20.65,0.6,1.22,False
Портнова Татьяна Арториджевна,13,15354,166024,31260,992,2029,20.65,0.6,1.22,True
Савицкая Светлана Анатольевна,13,4932,166024,31260,992,2029,20.65,0.6,1.22,False
Шайжанов Родион Маратович,13,4425,166024,31260,992,2029,20.65,0.6,1.22,False
Захаров Дмитрий Александрович,14,2035,172804,32395,1111,2445,20.8,0.64,1.41,False
Круглов Максим Сергеевич,14,5731,172804,32395,1111,2445,20.8,0.64,1.41,False
Крюков Алексей Сергеевич,14,2351,172804,32395,1111,2445,20.8,0.64,1.41,False
Михайлова Юлия Борисовна,14,9034,172804,32395,1111,2445,20.8,0.64,1.41,False
Теличенко Валерий Иванович,14,15498,172804,32395,1111,2445,20.8,0.64,1.41,True
Душенко Вячеслав Владимирович,15,1634,145492,26590,312,2058,19.9,0.21,1.41,False
Крапухин Алексей Игоревич,15,3467,145492,26590,312,2058,19.9,0.21,1.41,False
Метельский Андрей Николаевич,15,15423,145492,26590,312,2058,19.9,0.21,1.41,True
Тимонин Максим Анатольевич,15,4064,145492,26590,312,2058,19.9,0.21,1.41,False
Шилов Станислав Александрович,15,1953,145492,26590,312,2058,19.9,0.21,1.41,False
Юрьев Михаил Владимирович,15,1294,145492,26590,312,2058,19.9,0.21,1.41,False
Грищенко Елена Аркадьевна,16,3324,145793,29538,307,1823,21.72,0.21,1.25,False
Лазарев Николай Леонидович,16,1422,145793,29538,307,1823,21.72,0.21,1.25,False
Молев Антон Ильич,16,14476,145793,29538,307,1823,21.72,0.21,1.25,True
Мустафин Марат Махсутович,16,729,145793,29538,307,1823,21.72,0.21,1.25,False
Парфенов Денис Андреевич,16,6098,145793,29538,307,1823,21.72,0.21,1.25,False
Тимонов Михаил Леонидович,16,4431,145793,29538,307,1823,21.72,0.21,1.25,False
Андреев Андрей Владимирович,17,1628,147050,31108,283,2068,22.75,0.19,1.41,False
Брумель Игорь Николаевич,17,1210,147050,31108,283,2068,22.75,0.19,1.41,False
Петров Михаил Владимирович,17,5703,147050,31108,283,2068,22.75,0.19,1.41,False
Пинясов Николай Сергеевич,17,2218,147050,31108,283,2068,22.75,0.19,1.41,False
Пономарев Алексей Анатольевич,17,3148,147050,31108,283,2068,22.75,0.19,1.41,False
Сметанов Александр Юрьевич,17,18190,147050,31108,283,2068,22.75,0.19,1.41,True
Бабыкина Галина Дмитриевна,18,1282,145360,31333,262,2563,23.5,0.18,1.76,False
Бурд Семен Яковлевич,18,3416,145360,31333,262,2563,23.5,0.18,1.76,False
Киреев Андрей Николаевич,18,2117,145360,31333,262,2563,23.5,0.18,1.76,False
Махмутова Айгуль Фатиховна,18,654,145360,31333,262,2563,23.5,0.18,1.76,False
Назарова Ирина Александровна,18,13921,145360,31333,262,2563,23.5,0.18,1.76,True
Погорелов Владимир Васильевич,18,1489,145360,31333,262,2563,23.5,0.18,1.76,False
Чуканова Маргарита Алексеевна,18,10182,145360,31333,262,2563,23.5,0.18,1.76,False
Карасева Вера Юрьевна,19,4305,149223,30500,259,2268,22.13,0.17,1.52,False
Кругляков Виктор Михайлович,19,16855,149223,30500,259,2268,22.13,0.17,1.52,True
Лапин Юрий Ерминингельдович,19,6073,149223,30500,259,2268,22.13,0.17,1.52,False
Майоров Максим Александрович,19,2567,149223,30500,259,2268,22.13,0.17,1.52,False
Новиков Михаил Михайлович,19,1842,149223,30500,259,2268,22.13,0.17,1.52,False
